,Countries,Total,Recovered,Deaths
1,"
North America
","3,561,561","1,611,409","176,635"
2,"
South America
","2,550,729","1,660,491","94,967"
3,"
Asia
","2,630,174","1,778,397","63,294"
4,"
Europe
","2,492,804","1,437,925","193,989"
5,"
Africa
","493,710","238,464","11,649"
6,"
Oceania
","10,406","9,054",128
7,"

",721,651,15
8,World,"11,740,105","6,736,391","540,677"
9,USA,"3,040,833","1,324,947","132,979"
10,Brazil,"1,626,071","1,072,229","65,556"
11,India,"720,346","440,150","20,174"
12,Russia,"687,862","454,329","10,296"
13,Peru,"305,703","197,619","10,772"
14,Spain,"298,869",N/A,"28,388"
15,Chile,"298,557","264,371","6,384"
16,UK,"285,768",N/A,"44,236"
17,Mexico,"261,750","159,657","31,119"
18,Iran,"243,051","204,083","11,731"
19,Italy,"241,819","192,241","34,869"
20,Pakistan,"231,818","131,649","4,762"
21,Saudi Arabia,"213,716","149,634","1,968"
22,Turkey,"206,844","182,995","5,241"
23,South Africa,"205,721","97,848","3,310"
24,Germany,"198,057","182,700","9,092"
25,France,"168,335","77,308","29,920"
26,Bangladesh,"165,618","76,149","2,096"
27,Colombia,"120,281","50,370","4,210"
28,Canada,"105,935","69,570","8,693"
29,Qatar,"100,345","93,898",133
30,Argentina,"80,447","28,531","1,582"
31,Egypt,"76,222","21,238","3,422"
32,Sweden,"73,061",N/A,"5,433"
33,Indonesia,"64,958","29,919","3,241"
34,Belarus,"63,804","51,120",429
35,Ecuador,"62,380","28,872","4,821"
36,Iraq,"62,275","34,741","2,567"
37,Belgium,"62,016","17,091","9,771"
38,UAE,"52,068","40,721",324
39,Netherlands,"50,657",N/A,"6,128"
40,Kuwait,"50,644","41,001",373
41,Ukraine,"49,043","21,703","1,262"
42,Kazakhstan,"48,574","27,334",264
43,Oman,"47,735","29,146",218
44,Philippines,"46,333","12,185","1,303"
45,Singapore,"44,983","40,717",26
46,Portugal,"44,129","29,166","1,620"
47,Bolivia,"40,509","11,929","1,476"
48,Panama,"39,334","18,036",770
49,Dominican Republic,"38,128","19,489",804
50,Poland,"36,155","23,966","1,521"
51,Afghanistan,"33,190","20,103",898
52,Switzerland,"32,315","29,300","1,965"
53,Israel,"30,749","18,056",334
54,Bahrain,"29,821","25,178",98
55,Nigeria,"29,286","11,828",654
56,Romania,"29,223","20,213","1,768"
57,Armenia,"28,936","16,302",491
58,Ireland,"25,531","23,364","1,741"
59,Honduras,"24,665","2,585",656
60,Guatemala,"23,972","3,429",981
61,Ghana,"21,077","16,070",129
62,Azerbaijan,"20,837","12,182",258
63,Japan,"19,775","17,124",977
64,Austria,"18,365","16,647",706
65,Moldova,"17,906","11,047",592
66,Serbia,"16,420","13,366",317
67,Algeria,"16,404","11,884",959
68,Nepal,"15,964","6,811",35
69,Morocco,"14,379","10,173",237
70,S. Korea,"13,181","11,914",285
71,Denmark,"12,878","11,935",607
72,Cameroon,"12,592","10,100",313
73,Czechia,"12,566","7,873",350
74,Ivory Coast,"10,966","5,384",75
75,Uzbekistan,"10,362","6,628",37
76,Sudan,"9,894","4,899",616
77,Norway,"8,936","8,138",251
78,Australia,"8,755","7,455",106
79,Malaysia,"8,668","8,476",121
80,Kenya,"8,067","2,414",164
81,El Salvador,"8,027","4,730",223
82,Kyrgyzstan,"7,691","2,843",92
83,Senegal,"7,478","4,870",136
84,DRC,"7,432","3,226",182
85,Venezuela,"7,411","2,100",68
86,Finland,"7,257","6,700",329
87,North Macedonia,"7,124","3,199",346
88,Haiti,"6,371","1,824",113
89,Tajikistan,"6,262","4,914",53
90,Bulgaria,"5,914","3,000",250
91,Ethiopia,"5,846","2,430",103
92,Gabon,"5,743","2,574",46
93,Guinea,"5,610","4,522",34
94,Bosnia and Herzegovina,"5,458","2,598",199
95,Costa Rica,"5,241","1,776",23
96,French Guiana,"5,054","1,984",20
97,Mauritania,"4,948","1,896",133
98,Djibouti,"4,822","4,610",55
99,Luxembourg,"4,542","4,016",110
100,Palestine,"4,341",491,17
101,Hungary,"4,189","2,860",589
102,CAR,"4,033",970,52
103,Greece,"3,562","1,374",192
104,Madagascar,"3,250","1,135",33
105,Croatia,"3,220","2,210",113
106,Thailand,"3,195","3,072",58
107,Equatorial Guinea,"3,071",842,51
108,Somalia,"3,006","1,051",92
109,Albania,"2,964","1,702",79
110,Mayotte,"2,679","2,375",34
111,Nicaragua,"2,519","1,238",83
112,Maldives,"2,491","2,113",12
113,Paraguay,"2,456","1,180",20
114,Cuba,"2,380","2,234",86
115,Mali,"2,331","1,547",119
116,Sri Lanka,"2,077","1,917",11
117,South Sudan,"2,021",333,38
118,Estonia,"1,994","1,875",69
119,Lebanon,"1,885","1,311",36
120,Iceland,"1,866","1,840",10
121,Lithuania,"1,841","1,547",79
122,Guinea-Bissau,"1,790",760,25
123,Slovakia,"1,765","1,466",28
124,Malawi,"1,742",317,19
125,Slovenia,"1,716","1,384",111
126,Zambia,"1,632","1,348",30
127,Congo,"1,557",501,44
128,Sierra Leone,"1,547","1,086",62
129,New Zealand,"1,536","1,492",22
130,Cabo Verde,"1,463",722,17
131,Hong Kong,"1,286","1,157",7
132,Yemen,"1,284",575,345
133,Tunisia,"1,199","1,049",50
134,Benin,"1,199",333,21
135,Jordan,"1,167",957,10
136,Latvia,"1,127","1,000",30
137,Libya,"1,117",269,34
138,Rwanda,"1,113",575,3
139,Niger,"1,093",968,68
140,Mozambique,"1,012",277,8
141,Eswatini,"1,011",564,13
142,Cyprus,"1,004",839,19
143,Burkina Faso,"1,000",858,53
144,Uruguay,960,858,29
145,Georgia,953,830,15
146,Uganda,953,892,
147,Liberia,891,377,39
148,Chad,872,787,74
149,Andorra,855,800,52
150,Montenegro,841,315,14
151,Jamaica,737,591,10
152,Zimbabwe,734,197,9
153,Sao Tome and Principe,721,269,13
154,Diamond Princess,712,651,13
155,San Marino,698,656,42
156,Togo,680,450,15
157,Malta,672,652,9
158,Suriname,614,315,14
159,Channel Islands,577,512,47
160,Réunion,550,472,2
161,Tanzania,509,183,21
162,Namibia,485,25,
163,Taiwan,449,438,7
164,Syria,372,126,14
165,Vietnam,369,341,
166,Angola,346,108,19
167,Mauritius,342,330,10
168,Isle of Man,336,312,24
169,Myanmar,316,245,6
170,Botswana,314,31,1
171,Comoros,311,266,7
172,Guyana,273,120,15
173,Martinique,249,98,14
174,Mongolia,225,194,
175,Eritrea,215,56,
176,Cayman Islands,201,194,1
177,Burundi,191,118,1
178,Faeroe Islands,188,187,
179,Guadeloupe,184,157,14
180,Gibraltar,179,176,
181,Bermuda,146,137,9
182,Brunei ,141,138,3
183,Cambodia,141,131,
184,Trinidad and Tobago,133,117,8
185,Monaco,108,95,4
186,Aruba,105,98,3
187,Bahamas,104,89,11
188,Barbados,98,90,7
189,Lesotho,91,11,
190,Liechtenstein,84,81,1
191,Seychelles,81,11,
192,Bhutan,80,53,
193,Sint Maarten,78,63,15
194,Antigua and Barbuda,70,23,3
195,French Polynesia,62,60,
196,Gambia,61,27,3
197,Turks and Caicos,48,11,2
198,Macao,46,45,
199,Saint Martin,43,37,3
200,Belize,30,19,2
201,St. Vincent Grenadines,29,29,
202,Timor-Leste,24,24,
203,Curaçao,23,19,1
204,Grenada,23,23,
205,Saint Lucia,22,19,
206,Fiji,21,18,
207,New Caledonia,21,21,
208,Laos,19,19,
209,Dominica,18,18,
210,Saint Kitts and Nevis,16,15,
211,Falkland Islands,13,13,
212,Greenland,13,13,
213,Vatican City,12,12,
214,Montserrat,11,10,1
215,Papua New Guinea,11,8,
216,Western Sahara,10,8,1
217,MS Zaandam,9,,2
218,British Virgin Islands,8,7,1
219,Caribbean Netherlands,7,7,
220,St. Barth,6,6,
221,Anguilla,3,3,
222,Saint Pierre Miquelon,1,1,
223,China,"83,565","78,528","4,634"
